k,c,success_count,fail_count,avg_min_length,avg_max_force
16298.7149962,1056.17488594,2,998,0.362932907365,8617.62286298
27491.6862288,1099.29543529,366,634,0.381206717304,9256.51700046
18494.5264104,973.742167989,43,957,0.36083193794,7974.53721483
19437.1567323,714.242550322,560,440,0.336548026604,6015.44215375
14787.0527703,597.507428454,467,533,0.310226667087,4879.60075943
6665.47776051,844.600466345,0,1000,0.312529958006,6583.51029674
18571.2327821,420.635543361,972,28,0.290039098744,4707.38059877
13320.394548,704.139392256,65,935,0.320098668662,5701.78811245
22342.9402135,1122.76879411,77,923,0.376595413876,9314.66534819
26965.727855,333.423061947,357,643,0.299725083907,5877.14531093
23536.5227839,793.593071603,716,284,0.353440382556,6692.73313563
29942.3155374,902.411189501,848,152,0.369425589505,7807.32782328
22674.5116496,1153.36437268,52,948,0.378820762773,9521.37813403
8578.1996368,1190.00071547,0,1000,0.358769508819,9337.06653538
22851.6019227,386.362425482,757,243,0.298233841887,5257.83450187
23865.8822903,791.57407439,738,262,0.3524815796,6771.37982449
18412.0338411,244.082441432,329,671,0.251166706196,4879.63604504
16425.0055331,630.35018755,505,495,0.318961734321,5225.64842637
17557.2086219,945.541022992,50,950,0.357303105351,7695.84003859
17158.937171,855.804892936,83,917,0.347952474583,7028.37946535
24297.0494549,672.537241439,978,22,0.341711336848,5890.53104563
19961.0675094,117.084303267,6,994,0.218885962399,5690.78068896
22904.4769701,891.711681795,411,589,0.359923804807,7505.08358443
25669.970774,938.641115639,505,495,0.366800894163,8003.64210771
13563.1063668,1442.70471243,0,1000,0.385090492255,11398.608934
15589.9216048,418.291373881,862,138,0.280604296191,4253.545298
20373.756614,503.101461485,988,12,0.310419710819,4978.51417877
8477.90480351,1376.59337446,0,1000,0.373156137751,10722.0553281
11400.3882965,241.112443551,533,467,0.206941699638,3662.32499624
19824.0725211,1116.53381368,21,979,0.373042274888,9135.72591989
27968.7630174,243.09772791,77,923,0.282273380061,6362.17303464
5575.56501661,1206.11848388,0,1000,0.350261946371,9371.19663039
24281.1666997,1011.9141038,292,708,0.371287102936,8476.07788877
6723.03845528,624.209521247,0,1000,0.273947561027,4865.41212518
7606.17405721,208.249490008,191,809,0.149800761817,2932.78285282
27767.154936,1276.61547803,165,835,0.391177126211,10542.1993047
10897.6507054,271.93509355,555,445,0.21270575928,3536.12598342
9658.02198648,331.728714234,437,563,0.2214955205,3308.22452986
13303.6601597,1272.48710221,0,1000,0.374537977618,10101.9090833
10684.8905196,536.021971381,158,842,0.280425188826,4301.0336556
14482.6425333,951.052151906,2,998,0.35140074846,7682.92137666
10139.4951142,1141.94951562,0,1000,0.359060166893,8991.30974097
20093.0383767,1202.90585224,14,986,0.379870573803,9748.26168535
15362.6146179,259.974216685,577,423,0.23854690218,4364.47917035
28074.0057649,1308.92539559,115,885,0.392965424675,10835.8806312
17020.9244682,751.980169696,254,746,0.336350992889,6204.82310713
19676.7057447,1385.83661891,1,999,0.390296672867,11063.5868167
27818.7366997,145.98534217,2,998,0.260654510875,6768.36556998
19440.7989002,447.517024911,985,15,0.299318748315,4791.06443755
5846.97895462,331.718646385,78,922,0.177368214554,2647.02712378
24512.3927456,536.062436104,996,4,0.324747568593,5498.68588538
10502.4304988,488.622038535,292,708,0.271473491491,3881.69937535
17879.342124,397.753096702,945,55,0.286003603505,4546.10468333
16474.7247249,1465.7578372,0,1000,0.391002729295,11580.1395908
26515.800556,880.227518363,718,282,0.364861617504,7469.94636249
9611.57173848,849.097605916,0,1000,0.327980502104,6649.67750895
12748.4233281,519.434272382,477,523,0.28884214799,4233.9121256
15669.7227035,656.245363293,377,623,0.320967653024,5386.337597
13734.6751121,1219.6948291,0,1000,0.371740472016,9723.70747436
20624.3997637,755.524567349,576,424,0.344733581169,6313.72362524
25914.1203172,628.816330631,999,1,0.339762704277,5812.5911127
12351.1168365,922.435051294,0,1000,0.34389403195,7373.77416031
18191.1932575,1099.6828811,10,990,0.370368653085,8910.87647221
17027.1987307,848.238250179,103,897,0.346418089052,6960.91912861
24133.9071058,795.816732096,747,253,0.353508469037,6767.17825652
13359.070164,244.174070195,591,409,0.223564146561,4010.01840252
23831.1554663,205.704706909,72,928,0.261649639155,5889.97065176
27435.7602319,481.22259684,925,75,0.324343461903,5744.57115597
25018.7442848,837.209849595,705,295,0.358782852331,7136.0956198
25994.7215344,1470.50401541,17,983,0.399488817179,11950.7270881
